customer_id,signup_date,segment,region
CUST-00057,2024-04-25,consumer,North
CUST-00058,2021-05-06,consumer,West
CUST-00059,2021-09-17,smb,Central
CUST-00060,2019-07-20,consumer,East
CUST-00061,2024-10-27,consumer,East
CUST-00062,2019-02-03,consumer,East
CUST-00063,2023-11-19,smb,North
CUST-00064,2022-10-18,consumer,South
CUST-00065,2020-08-10,consumer,North
CUST-00066,2019-03-20,smb,East
CUST-00067,2020-11-04,consumer,West
CUST-00068,2023-05-09,consumer,East
CUST-00069,2024-02-09,consumer,West
CUST-00070,2019-12-28,smb,East
CUST-00071,2024-02-18,smb,East
CUST-00072,2021-06-27,smb,South
CUST-00073,2019-01-22,consumer,North
CUST-00074,2019-11-24,smb,Central
CUST-00075,2022-01-07,enterprise,South
CUST-00076,2023-08-11,consumer,East
CUST-00077,2024-06-23,consumer,South
CUST-00078,2021-10-18,consumer,West
CUST-00079,2023-06-17,smb,South
CUST-00080,2024-12-29,consumer,East
CUST-00081,2021-02-07,enterprise,West
CUST-00082,2020-08-22,consumer,South
CUST-00083,2019-07-14,consumer,North
CUST-00084,2023-02-14,consumer,East
CUST-00085,2020-01-12,consumer,South
CUST-00086,2019-01-12,smb,South
CUST-00087,2024-07-06,consumer,North
CUST-00088,2022-03-17,consumer,West
CUST-00089,2022-08-31,consumer,East
CUST-00090,2022-05-16,consumer,South
CUST-00091,2024-09-07,smb,North
CUST-00092,2020-10-17,consumer,North
CUST-00093,2021-01-03,consumer,South
CUST-00094,2024-08-04,consumer,Central
CUST-00095,2024-08-16,consumer,West
CUST-00096,2024-11-11,consumer,East
CUST-00097,2020-01-17,consumer,Central
CUST-00098,2021-11-08,smb,East
CUST-00099,2022-03-03,consumer,North
CUST-00100,2020-04-20,consumer,Central
CUST-00101,2022-08-22,smb,Central
CUST-00102,2019-12-24,consumer,West
CUST-00103,2019-01-12,consumer,East
CUST-00104,2023-10-12,enterprise,East
CUST-00105,2024-07-22,smb,East
CUST-00106,2021-04-20,enterprise,North
CUST-00107,2019-06-20,smb,South
CUST-00108,2023-08-10,consumer,South
CUST-00109,2021-06-10,consumer,Central
CUST-00110,2021-02-04,consumer,Central
CUST-00111,2021-08-22,enterprise,East
CUST-00112,2021-07-20,smb,East
CUST-00113,2020-05-17,consumer,North
CUST-00114,2019-06-19,smb,North
CUST-00115,2020-04-26,consumer,West
CUST-00116,2023-03-18,consumer,East
CUST-00117,2020-09-17,smb,Central
CUST-00118,2021-05-19,consumer,South
CUST-00119,2019-08-06,consumer,West
CUST-00120,2024-11-24,consumer,West
CUST-00121,2022-12-21,consumer,East
CUST-00122,2019-11-11,consumer,North
CUST-00123,2023-06-29,consumer,West
CUST-00124,2021-07-01,smb,Central
CUST-00125,2024-01-19,smb,South
CUST-00126,2023-03-08,consumer,South
CUST-00127,2022-07-19,smb,South
CUST-00128,2019-07-29,consumer,South
CUST-00129,2022-12-10,smb,East
CUST-00130,2024-10-25,smb,West
CUST-00131,2023-11-21,enterprise,Central
CUST-00132,2019-10-06,consumer,South
CUST-00133,2021-09-12,consumer,West
CUST-00134,2019-09-14,enterprise,Central
CUST-00135,2024-06-30,consumer,Central
CUST-00136,2021-04-02,consumer,South
CUST-00137,2023-02-06,smb,North
CUST-00138,2023-05-14,consumer,West
CUST-00139,2021-12-04,consumer,West
CUST-00140,2023-01-20,enterprise,South
CUST-00141,2023-05-01,smb,East
CUST-00142,2022-11-24,consumer,West
CUST-00143,2024-06-07,consumer,Central
CUST-00144,2022-03-20,smb,Central
CUST-00145,2021-06-13,consumer,Central
CUST-00146,2021-05-15,consumer,North
CUST-00147,2019-09-13,consumer,Central
CUST-00148,2019-05-11,enterprise,Central
CUST-00149,2021-07-09,consumer,East
CUST-00150,2024-04-19,consumer,North
CUST-00151,2021-02-21,consumer,East
CUST-00152,2020-07-19,consumer,Central
CUST-00153,2023-10-31,consumer,East
CUST-00154,2023-04-22,enterprise,Central
CUST-00155,2019-06-24,consumer,East
CUST-00156,2019-02-25,consumer,West
CUST-00157,2021-03-10,enterprise,North
CUST-00158,2019-08-11,consumer,East
CUST-00159,2022-08-02,consumer,South
CUST-00160,2022-03-22,consumer,East
CUST-00161,2020-10-08,smb,South
CUST-00162,2021-03-07,consumer,North
CUST-00163,2023-11-28,consumer,Central
CUST-00164,2019-12-07,consumer,Central
CUST-00165,2022-09-01,consumer,Central
CUST-00166,2023-02-23,enterprise,South
CUST-00167,2020-09-12,consumer,West
CUST-00168,2019-07-09,smb,South
CUST-00169,2023-05-19,consumer,South
CUST-00170,2024-08-10,consumer,West
CUST-00171,2023-02-24,consumer,North
CUST-00172,2022-09-14,consumer,South
CUST-00173,2023-03-17,consumer,East
CUST-00174,2022-07-30,consumer,South
CUST-00175,2020-01-19,smb,Central
CUST-00176,2021-02-04,smb,West
CUST-00177,2023-08-09,enterprise,West
CUST-00178,2022-10-20,smb,South
CUST-00179,2024-12-24,smb,South
CUST-00180,2024-01-03,consumer,Central
CUST-00181,2021-02-23,consumer,North
CUST-00182,2023-03-19,enterprise,West
CUST-00183,2023-12-15,consumer,South
CUST-00184,2024-08-25,smb,Central
CUST-00185,2024-12-14,consumer,North
CUST-00186,2022-01-08,consumer,East
CUST-00187,2020-12-18,consumer,South
CUST-00188,2019-10-04,enterprise,East
CUST-00189,2022-02-03,smb,South
CUST-00190,2022-01-30,consumer,Central
CUST-00191,2023-06-19,consumer,Central
CUST-00192,2021-02-27,consumer,Central
CUST-00193,2020-04-05,consumer,East
CUST-00194,2022-03-11,consumer,South
CUST-00195,2021-01-24,consumer,West
CUST-00196,2023-06-25,enterprise,East
CUST-00197,2023-04-17,consumer,East
CUST-00198,2020-10-06,smb,West
CUST-00199,2023-04-19,consumer,North
CUST-00200,2024-07-13,smb,East
CUST-00201,2021-03-21,smb,North
CUST-00202,2019-05-06,smb,North
CUST-00203,2022-08-28,consumer,North
CUST-00204,2020-12-28,consumer,East
CUST-00205,2021-04-15,consumer,Central
CUST-00206,2022-09-11,consumer,Central
CUST-00207,2020-12-30,consumer,West
CUST-00208,2020-10-10,consumer,Central
CUST-00209,2021-11-15,enterprise,Central
CUST-00210,2023-01-25,consumer,East
CUST-00211,2019-01-18,smb,North
CUST-00212,2023-02-22,consumer,Central
CUST-00213,2020-02-16,smb,East
CUST-00214,2020-05-26,smb,East
CUST-00215,2021-07-10,consumer,South
CUST-00216,2020-06-05,enterprise,Central
CUST-00217,2023-06-13,consumer,West
CUST-00218,2019-04-20,consumer,West
CUST-00219,2022-07-17,consumer,East
CUST-00220,2021-02-09,enterprise,East
CUST-00221,2019-09-04,consumer,North
CUST-00222,2023-03-22,smb,South
CUST-00223,2022-12-05,consumer,South
CUST-00224,2019-04-21,enterprise,East
CUST-00225,2023-01-30,consumer,North
CUST-00226,2021-06-26,consumer,East
CUST-00227,2021-09-20,consumer,West
CUST-00228,2022-10-24,consumer,West
CUST-00229,2019-10-11,consumer,North
CUST-00230,2021-01-04,consumer,East
CUST-00231,2019-06-17,smb,Central
CUST-00232,2019-01-31,consumer,North
CUST-00233,2023-11-29,consumer,North
CUST-00234,2020-10-25,consumer,Central
CUST-00235,2024-03-07,enterprise,Central
CUST-00236,2021-02-08,consumer,North
CUST-00237,2023-04-21,consumer,North
CUST-00238,2024-07-01,smb,Central
CUST-00239,2024-03-23,smb,Central
CUST-00240,2020-08-30,enterprise,North
CUST-00241,2021-07-06,smb,Central
CUST-00242,2020-01-22,consumer,East
CUST-00243,2024-11-04,consumer,North
CUST-00244,2023-03-16,consumer,West
CUST-00245,2024-07-06,consumer,South
CUST-00246,2019-04-12,consumer,Central
CUST-00247,2022-11-21,consumer,North
CUST-00248,2024-04-05,smb,West
CUST-00249,2020-03-29,smb,West
CUST-00250,2024-10-03,consumer,East
CUST-00251,2020-08-08,consumer,Central
CUST-00252,2024-05-04,consumer,East
CUST-00253,2019-11-28,consumer,West
CUST-00254,2021-10-14,consumer,Central
CUST-00255,2023-06-10,consumer,West
CUST-00256,2022-03-13,consumer,East
CUST-00257,2020-04-07,consumer,Central
CUST-00258,2020-05-23,consumer,Central
CUST-00259,2021-06-17,smb,South
CUST-00260,2020-12-18,smb,North
CUST-00261,2024-06-01,smb,West
CUST-00262,2019-07-01,smb,West
CUST-00263,2021-05-07,consumer,Central
CUST-00264,2022-12-20,consumer,South
CUST-00265,2021-08-05,enterprise,West
CUST-00266,2020-09-03,smb,South
CUST-00267,2019-05-12,smb,East
CUST-00268,2023-06-08,consumer,South
CUST-00269,2023-03-27,consumer,South
CUST-00270,2021-12-10,smb,West
CUST-00271,2019-07-05,consumer,Central
CUST-00272,2022-05-14,smb,West
CUST-00273,2023-07-09,consumer,South
CUST-00274,2022-05-25,consumer,East
CUST-00275,2023-10-05,smb,Central
CUST-00276,2022-12-08,consumer,East
CUST-00277,2021-07-22,consumer,North
CUST-00278,2019-02-28,smb,South
CUST-00279,2024-08-16,consumer,East
CUST-00280,2020-05-30,smb,South
CUST-00281,2019-12-06,enterprise,West
CUST-00282,2024-10-30,consumer,South
CUST-00283,2022-08-09,smb,East
CUST-00284,2022-01-23,smb,East
CUST-00285,2023-08-08,smb,East
CUST-00286,2020-05-29,consumer,West
CUST-00287,2021-03-12,smb,Central
CUST-00288,2020-05-17,smb,Central
CUST-00289,2021-07-03,consumer,South
CUST-00290,2019-08-06,consumer,East
CUST-00291,2022-07-28,consumer,Central
CUST-00292,2023-01-08,enterprise,South
CUST-00293,2021-12-01,smb,North
CUST-00294,2020-11-10,smb,South
CUST-00295,2020-03-07,consumer,East
CUST-00296,2024-09-28,consumer,Central
CUST-00297,2022-05-26,consumer,East
CUST-00298,2024-01-24,consumer,North
CUST-00299,2020-07-03,consumer,East
CUST-00300,2019-05-06,consumer,Central
CUST-00301,2022-10-24,enterprise,East
CUST-00302,2022-09-09,consumer,East
CUST-00303,2023-12-07,consumer,East
CUST-00304,2021-08-28,consumer,Central
CUST-00305,2019-04-12,consumer,North
CUST-00306,2022-02-04,smb,North
CUST-00307,2019-04-13,smb,Central
CUST-00308,2020-12-28,consumer,West
CUST-00309,2023-05-17,consumer,North
CUST-00310,2023-08-24,consumer,East
CUST-00311,2020-01-13,consumer,North
CUST-00312,2023-06-28,enterprise,Central
CUST-00313,2023-08-18,consumer,Central
CUST-00314,2020-02-22,consumer,East
CUST-00315,2020-11-29,enterprise,South
CUST-00316,2019-05-03,consumer,West
CUST-00317,2024-12-15,consumer,North
CUST-00318,2019-01-27,smb,West
CUST-00319,2024-12-07,smb,East
CUST-00320,2022-02-05,smb,South
CUST-00321,2020-08-05,enterprise,North
CUST-00322,2021-11-23,consumer,West
CUST-00323,2021-05-22,consumer,East
CUST-00324,2021-02-12,consumer,Central
CUST-00325,2020-07-17,consumer,West
CUST-00326,2023-05-09,smb,Central
CUST-00327,2022-12-25,consumer,West
CUST-00328,2024-11-11,consumer,South
CUST-00329,2021-12-29,consumer,East
CUST-00330,2022-10-01,smb,Central
CUST-00331,2020-02-05,consumer,South
CUST-00332,2019-12-04,enterprise,West
CUST-00333,2023-07-29,consumer,North
CUST-00334,2022-04-03,consumer,Central
CUST-00335,2021-03-31,consumer,North
CUST-00336,2020-09-29,consumer,North
CUST-00337,2024-11-21,consumer,West
CUST-00338,2021-08-16,consumer,North
CUST-00339,2019-10-14,consumer,South
CUST-00340,2021-06-29,smb,Central
CUST-00341,2023-09-05,consumer,North
CUST-00342,2020-08-18,smb,Central
CUST-00343,2023-12-29,consumer,West
CUST-00344,2022-08-28,consumer,North
CUST-00345,2023-06-27,smb,Central
CUST-00346,2023-07-21,smb,Central
CUST-00347,2020-01-04,consumer,South
CUST-00348,2019-06-23,consumer,West
CUST-00349,2019-02-25,consumer,East
CUST-00350,2019-02-09,smb,Central
CUST-00351,2024-07-20,smb,East
CUST-00352,2023-01-14,consumer,Central
CUST-00353,2022-01-11,smb,East
CUST-00354,2023-05-11,smb,North
CUST-00355,2024-05-30,smb,South
CUST-00356,2024-07-21,consumer,Central
CUST-00357,2019-08-17,consumer,South
CUST-00358,2021-12-24,consumer,South
CUST-00359,2020-02-11,smb,East
CUST-00360,2023-05-25,consumer,Central
CUST-00361,2020-01-18,consumer,North
CUST-00362,2020-09-04,enterprise,South
CUST-00363,2021-03-01,consumer,East
CUST-00364,2021-05-23,consumer,North
CUST-00365,2022-08-10,consumer,Central
CUST-00366,2024-01-29,consumer,Central
CUST-00367,2022-11-07,enterprise,South
CUST-00368,2021-04-07,consumer,South
CUST-00369,2023-09-14,consumer,South
CUST-00370,2021-04-24,consumer,Central
CUST-00371,2022-08-02,smb,East
CUST-00372,2022-03-09,enterprise,Central
CUST-00373,2024-11-04,consumer,South
CUST-00374,2019-08-30,consumer,South
CUST-00375,2023-01-16,smb,South
CUST-00376,2023-11-26,smb,West
CUST-00377,2022-09-05,consumer,Central
CUST-00378,2021-09-02,smb,West
CUST-00379,2021-07-15,smb,East
CUST-00380,2023-08-01,consumer,East
CUST-00381,2024-12-25,consumer,East
CUST-00382,2024-04-10,consumer,East
CUST-00383,2024-06-10,smb,West
CUST-00384,2020-01-06,smb,South
CUST-00385,2020-02-22,consumer,Central
CUST-00386,2023-03-05,smb,North
CUST-00387,2024-02-06,consumer,West
CUST-00388,2022-10-29,consumer,South
CUST-00389,2019-05-22,consumer,West
CUST-00390,2021-10-26,consumer,East
CUST-00391,2019-03-27,smb,North
CUST-00392,2024-12-06,consumer,Central
CUST-00393,2019-10-16,consumer,East
CUST-00394,2021-11-24,smb,South
CUST-00395,2024-06-03,smb,East
CUST-00396,2020-12-21,consumer,North
CUST-00397,2019-02-02,consumer,South
CUST-00398,2021-07-25,consumer,Central
CUST-00399,2019-09-18,consumer,East
CUST-00400,2021-05-16,consumer,South
CUST-00401,2022-06-15,consumer,Central
CUST-00402,2024-12-07,consumer,East
CUST-00403,2019-07-05,consumer,East
CUST-00404,2020-04-04,consumer,North
CUST-00405,2020-07-30,consumer,West
CUST-00406,2023-03-04,consumer,East
CUST-00407,2019-12-19,smb,East
CUST-00408,2019-09-17,consumer,West
CUST-00409,2024-01-23,consumer,South
CUST-00410,2019-05-11,smb,East
CUST-00411,2021-01-01,smb,West
CUST-00412,2021-08-24,consumer,Central
CUST-00413,2024-01-28,consumer,East
CUST-00414,2024-06-24,consumer,East
CUST-00415,2021-01-22,smb,West
CUST-00416,2023-11-16,enterprise,West
CUST-00417,2019-03-26,consumer,Central
CUST-00418,2021-12-10,smb,Central
CUST-00419,2022-08-28,consumer,West
CUST-00420,2022-03-15,consumer,South
CUST-00421,2022-08-02,consumer,North
CUST-00422,2024-02-25,consumer,South
CUST-00423,2023-06-04,smb,East
CUST-00424,2022-06-14,consumer,North
CUST-00425,2023-12-16,smb,East
CUST-00426,2020-04-19,smb,East
CUST-00427,2021-01-16,smb,North
CUST-00428,2021-08-01,consumer,Central
CUST-00429,2022-05-23,consumer,Central
CUST-00430,2022-09-04,consumer,North
CUST-00431,2021-01-06,consumer,South
CUST-00432,2022-06-11,smb,West
CUST-00433,2024-02-25,consumer,South
CUST-00434,2019-04-03,consumer,Central
CUST-00435,2022-01-18,consumer,West
CUST-00436,2022-09-29,consumer,East
CUST-00437,2019-09-29,consumer,South
CUST-00438,2023-03-16,consumer,Central
CUST-00439,2024-10-18,smb,Central
CUST-00440,2023-10-02,consumer,West
CUST-00441,2019-12-09,consumer,East
CUST-00442,2021-03-20,enterprise,North
CUST-00443,2022-03-24,consumer,Central
CUST-00444,2022-09-09,consumer,East
CUST-00445,2020-06-24,consumer,North
CUST-00446,2023-07-06,enterprise,North
CUST-00447,2022-03-16,consumer,East
CUST-00448,2020-06-13,smb,North
CUST-00449,2022-03-16,consumer,South
CUST-00450,2019-10-03,consumer,North
CUST-00451,2022-11-06,enterprise,Central
CUST-00452,2021-11-22,smb,South
CUST-00453,2022-06-29,smb,North
CUST-00454,2021-06-03,consumer,Central
CUST-00455,2024-08-04,smb,West
CUST-00456,2020-02-10,consumer,West
CUST-00457,2020-10-17,consumer,North
CUST-00458,2020-09-04,smb,West
CUST-00459,2019-11-25,smb,West
CUST-00460,2020-09-06,smb,South
CUST-00461,2020-06-13,consumer,North
CUST-00462,2023-07-24,consumer,West
CUST-00463,2019-03-31,enterprise,South
CUST-00464,2024-01-02,smb,West
CUST-00465,2024-02-18,consumer,East
CUST-00466,2020-10-12,consumer,South
CUST-00467,2022-06-19,smb,Central
CUST-00468,2024-02-24,consumer,East
CUST-00469,2022-02-27,smb,West
CUST-00470,2020-04-04,consumer,South
CUST-00471,2023-11-04,smb,South
CUST-00472,2020-11-21,consumer,North
CUST-00473,2019-04-04,consumer,South
CUST-00474,2020-05-09,consumer,West
CUST-00475,2023-09-19,smb,West
CUST-00476,2022-06-12,consumer,South
CUST-00477,2021-06-24,consumer,South
CUST-00478,2024-02-03,consumer,East
CUST-00479,2019-06-20,consumer,West
CUST-00480,2024-07-03,consumer,East
CUST-00481,2024-03-02,consumer,East
CUST-00482,2021-12-21,smb,North
CUST-00483,2023-05-17,smb,East
CUST-00484,2020-07-06,consumer,South
CUST-00485,2024-06-16,smb,East
CUST-00486,2024-05-19,enterprise,North
CUST-00487,2024-01-25,consumer,South
CUST-00488,2021-08-26,consumer,Central
CUST-00489,2024-04-20,smb,South
CUST-00490,2019-05-06,consumer,East
CUST-00491,2019-08-15,consumer,South
CUST-00492,2024-04-06,smb,East
CUST-00493,2019-09-06,consumer,South
CUST-00494,2022-05-20,consumer,South
CUST-00495,2024-07-29,consumer,South
CUST-00496,2022-03-16,enterprise,East
CUST-00497,2019-05-23,consumer,North
CUST-00498,2023-02-14,consumer,Central
CUST-00499,2020-04-01,consumer,West
CUST-00500,2022-02-21,consumer,Central
CUST-00501,2021-02-12,smb,North
CUST-00502,2022-11-19,consumer,West
CUST-00503,2022-11-28,smb,West
CUST-00504,2019-08-18,smb,East
CUST-00505,2019-07-04,consumer,East
CUST-00506,2019-07-29,consumer,Central
CUST-00507,2019-11-27,enterprise,East
CUST-00508,2022-09-14,consumer,East
CUST-00509,2019-03-25,consumer,West
CUST-00510,2021-02-24,consumer,West
CUST-00511,2020-01-30,smb,West
CUST-00512,2020-12-31,consumer,Central
CUST-00513,2022-09-18,smb,East
CUST-00514,2022-05-11,smb,East
CUST-00515,2023-04-12,consumer,North
CUST-00516,2021-11-10,consumer,East
CUST-00517,2024-03-28,smb,North
CUST-00518,2022-11-17,consumer,North
CUST-00519,2020-06-13,consumer,West
CUST-00520,2021-10-29,smb,South
CUST-00521,2022-12-21,consumer,North
CUST-00522,2019-10-22,smb,West
CUST-00523,2022-05-08,smb,East
CUST-00524,2022-07-24,consumer,Central
CUST-00525,2021-10-03,consumer,East
CUST-00526,2020-08-05,consumer,North
CUST-00527,2021-01-16,consumer,Central
CUST-00528,2021-09-03,smb,South
CUST-00529,2020-01-24,consumer,East
CUST-00530,2024-09-18,enterprise,West
CUST-00531,2022-03-23,consumer,Central
CUST-00532,2023-02-03,consumer,South
CUST-00533,2023-05-02,consumer,South
CUST-00534,2022-07-22,smb,West
CUST-00535,2019-11-04,enterprise,Central
CUST-00536,2023-06-29,consumer,North
CUST-00537,2020-12-31,enterprise,East
CUST-00538,2022-05-08,smb,Central
CUST-00539,2020-01-17,consumer,South
CUST-00540,2023-05-18,consumer,South
CUST-00541,2021-03-31,smb,North
CUST-00542,2020-02-14,consumer,West
CUST-00543,2020-05-09,consumer,Central
CUST-00544,2020-10-04,consumer,North
CUST-00545,2021-03-30,smb,West
CUST-00546,2021-08-09,consumer,South
CUST-00547,2023-12-09,consumer,Central
CUST-00548,2024-01-19,enterprise,East
CUST-00549,2023-12-24,enterprise,West
CUST-00550,2020-03-29,consumer,West
CUST-00551,2023-05-06,consumer,West
CUST-00552,2022-02-21,smb,West
CUST-00553,2021-05-17,smb,South
CUST-00554,2021-06-23,consumer,Central
CUST-00555,2023-01-05,consumer,West
CUST-00556,2024-09-22,smb,North
CUST-00557,2022-09-24,smb,North
CUST-00558,2021-07-19,smb,Central
CUST-00559,2019-12-28,consumer,Central
CUST-00560,2020-03-28,consumer,North
CUST-00561,2022-03-08,smb,South
CUST-00562,2019-03-05,consumer,North
CUST-00563,2022-05-17,smb,North
CUST-00564,2021-10-08,smb,Central
CUST-00565,2020-04-15,smb,North
CUST-00566,2019-11-10,consumer,Central
CUST-00567,2022-05-18,smb,North
CUST-00568,2021-06-13,consumer,East
CUST-00569,2023-09-23,consumer,North
CUST-00570,2022-10-16,consumer,West
CUST-00571,2019-09-14,enterprise,North
CUST-00572,2021-07-29,consumer,East
CUST-00573,2022-11-24,consumer,East
CUST-00574,2021-07-30,consumer,North
CUST-00575,2019-03-05,consumer,West
CUST-00576,2023-07-10,smb,West
CUST-00577,2023-08-05,consumer,East
CUST-00578,2022-12-29,enterprise,North
CUST-00579,2019-09-30,consumer,West
CUST-00580,2020-02-09,smb,North
CUST-00581,2019-08-29,enterprise,Central
CUST-00582,2020-12-05,consumer,West
CUST-00583,2020-05-02,consumer,West
CUST-00584,2019-08-03,smb,North
CUST-00585,2019-02-28,consumer,South
CUST-00586,2022-10-01,smb,North
CUST-00587,2024-03-12,smb,West
CUST-00588,2021-10-13,consumer,Central
CUST-00589,2023-01-03,consumer,South
CUST-00590,2021-04-15,consumer,South
CUST-00591,2022-12-01,consumer,South
CUST-00592,2023-09-24,consumer,Central
CUST-00593,2022-12-10,smb,East
CUST-00594,2022-05-18,consumer,Central
CUST-00595,2024-02-06,enterprise,Central
CUST-00596,2019-12-30,consumer,North
CUST-00597,2024-11-22,consumer,South
CUST-00598,2024-09-28,consumer,Central
CUST-00599,2024-04-02,consumer,West
CUST-00600,2023-09-13,consumer,North
CUST-00601,2023-03-18,consumer,East
CUST-00602,2020-01-05,enterprise,Central
CUST-00603,2021-09-12,enterprise,South
CUST-00604,2021-09-18,consumer,East
CUST-00605,2020-12-29,smb,East
CUST-00606,2020-09-03,consumer,South
CUST-00607,2020-03-30,consumer,South
CUST-00608,2024-02-06,smb,East
CUST-00609,2019-12-01,consumer,Central
CUST-00610,2024-01-16,consumer,South
CUST-00611,2020-12-04,smb,North
CUST-00612,2024-02-29,consumer,West
CUST-00613,2021-03-14,smb,North
CUST-00614,2020-05-19,smb,North
CUST-00615,2020-08-13,consumer,South
CUST-00616,2024-12-06,consumer,Central
CUST-00617,2021-03-18,consumer,East
CUST-00618,2020-11-16,smb,Central
CUST-00619,2023-04-17,smb,East
CUST-00620,2022-08-29,consumer,Central
CUST-00621,2023-04-29,consumer,Central
CUST-00622,2024-02-26,consumer,South
CUST-00623,2019-07-13,consumer,North
CUST-00624,2023-06-03,smb,South
CUST-00625,2024-10-03,smb,Central
CUST-00626,2020-06-19,smb,West
CUST-00627,2021-04-26,consumer,North
CUST-00628,2019-03-29,consumer,West
CUST-00629,2020-05-11,enterprise,South
CUST-00630,2022-01-27,enterprise,Central
CUST-00631,2020-07-27,smb,West
CUST-00632,2021-06-20,consumer,West
CUST-00633,2023-07-03,consumer,West
CUST-00634,2022-11-06,consumer,East
CUST-00635,2020-05-04,consumer,East
CUST-00636,2020-07-15,consumer,North
CUST-00637,2023-02-13,consumer,West
CUST-00638,2020-08-02,consumer,North
CUST-00639,2021-04-26,consumer,North
CUST-00640,2021-06-02,consumer,East
CUST-00641,2021-11-25,consumer,West
CUST-00642,2022-04-16,consumer,West
CUST-00643,2022-01-20,enterprise,North
CUST-00644,2023-04-20,consumer,West
CUST-00645,2022-03-03,consumer,South
CUST-00646,2019-03-16,consumer,East
CUST-00647,2024-03-13,smb,Central
CUST-00648,2022-06-19,smb,Central
CUST-00649,2020-03-22,consumer,Central
CUST-00650,2020-10-25,consumer,North
CUST-00651,2019-11-06,smb,East
CUST-00652,2020-08-11,consumer,West
CUST-00653,2024-04-02,smb,Central
CUST-00654,2024-05-01,consumer,Central
CUST-00655,2019-10-30,consumer,South
CUST-00656,2019-07-23,consumer,North
CUST-00657,2019-05-28,smb,Central
CUST-00658,2021-04-24,consumer,East
CUST-00659,2020-10-19,smb,South
CUST-00660,2023-06-17,consumer,South
CUST-00661,2023-02-04,consumer,West
CUST-00662,2020-04-11,smb,North
CUST-00663,2021-08-28,consumer,North
CUST-00664,2023-01-28,enterprise,North
CUST-00665,2022-08-07,consumer,South
CUST-00666,2021-06-03,consumer,East
CUST-00667,2021-07-03,consumer,North
CUST-00668,2022-01-15,enterprise,Central
CUST-00669,2019-08-09,smb,West
CUST-00670,2022-08-10,smb,South
CUST-00671,2019-01-17,smb,South
CUST-00672,2023-05-08,consumer,East
CUST-00673,2024-09-18,consumer,South
CUST-00674,2021-04-07,consumer,East
CUST-00675,2019-04-11,smb,East
CUST-00676,2024-10-24,smb,South
CUST-00677,2022-06-17,smb,Central
CUST-00678,2022-12-01,consumer,South
CUST-00679,2023-01-02,enterprise,West
CUST-00680,2024-10-07,consumer,North
CUST-00681,2019-06-06,smb,South
CUST-00682,2021-01-09,consumer,East
CUST-00683,2021-06-28,smb,North
CUST-00684,2020-08-14,smb,North
CUST-00685,2023-08-01,enterprise,East
CUST-00686,2024-10-16,consumer,East
CUST-00687,2023-08-05,smb,Central
CUST-00688,2022-10-10,enterprise,North
CUST-00689,2022-05-12,enterprise,South
CUST-00690,2019-05-24,consumer,North
CUST-00691,2022-11-10,enterprise,North
CUST-00692,2022-02-27,smb,West
CUST-00693,2019-07-26,smb,South
CUST-00694,2021-01-21,consumer,South
CUST-00695,2019-06-29,consumer,East
CUST-00696,2023-05-02,consumer,South
CUST-00697,2024-05-24,enterprise,West
